Text,is_humor
"Hoy inicia la Liga, por fin tendremos al Barça cada fin de semana. Ya era pinches justo. 😩🙌🏼",0
?.-•~*(?EL Divo00 d3 Tw1tTeR!!! ?vETe s|nO siEnTEz-kE Mi bOkA?tE pRoVokA s3nSAc|OnEs cUaNdO rOSa x TUs LaBiOs? )-•~.? Ha iniciado sesión.,0
"—Pepe, ¿qué es ésto? 
—Mi nota de suicidio. 
—Dice que te tiraste por la ventana. 
—Sí.
—Vivimos en planta baja.
—Por eso regresé.",1
"Mi primer día de dieta.
He eliminado de la casa todo lo que engorda.
Estaba delicioso.",1
Lo divertido de youtube es que puedes empezar escuchando tu canción favorita y luego terminas viendo como sacarle punta a un lápiz.,1
Lo mejor que puedo hacer es irme,0
"Hecharon al cocinero por pelar la chaucha
#frases #chistes",1
"Cómo te reconoceré.
.
- Iré de negro.
.
- Muchas van de negro.
.
- Con una guadaña no.",1
me la pase todo el día durmiendo jajajajaja,0
"Acabo de dejar el alcohol, brindemos por eso ;)",1
"Mi amigo es tan coqueto, que se mandó a polarizar el ojo de vidrio
#chistes",1
"A veces finjo no saber nada, para así saber hasta dónde mienten.",0
#Las10MentirasMasUsadas 7. Yo y mi ex ahora somos amiguísimos.,0
¿Cómo se llama el pato que no se lleva bien con otros patos? ANTIPATICO. #fb,1
cómo dormir siesta y levantarse antes de las 7 de la tarde yahoo respuestas,1
Sarcasmo es la capacidad de insultar a un idiota sin que se den cuenta.,1
"Una Chica se compró un consolador y no le anduvo, es una pija.
#fuerte",1
"cuando una persona es ridículo pero no tienen nalgas se le llama ridi
guau",1
"Ves? Somos muchos!!""@Fernan24z: @JesyPC No Jesy,no eres la única. Heme aquí Lara hacerte compañía""",0
"#TIPICO Vas a Comcel, y esta pikachu haciendo una recarga #RT",0
¡Qué nervios! A esta hora ya están descongelando a Denise de Kalafe.,0
Mamá... En la escuela me dicen espiritista... Mamaa! si estas aquí por favor manifiestateee... #fb,1
OLELGARON A LOS 15K LA TYUA MADRE,0
"Increible. Un partidazo como el
 chelsea-barça y solo le dedicáis 10 minutos. Luego al madrid-psg 2 días   @elchiringuitotv",0
La vida es como el sofá de Los Simpson... Nunca sabes qué va a pasar.,0
ya mismo me retocó el pelo 😝,0
Voces que alegran el corazón 💖,0
To' callao pa que tu novio no se enteré,0
JUSTIN ESTABA EN VIVO Y ME LO PERDI LYM,0
"""Pasarlo al Flaco Schavi es como agarrar un cable pelado en patas, te recontra caga a patadas!""  #chistes",1
me llamo roberto y estoy triste,0
Que manera de perder la dignidad la gente que va al programa de Guido kaczka. Lo odio.,0
Hagamos un juego express.. (cont siguiente tweet) #JuegosJajaChistes,0
"Un padre bien informado y responsable, siempre tiene la respuesta adecuada para su hijo: 
""Pregúntaselo a tu madre""",1
"Quieren bajar de peso, pero no quieren coger con su marido. Ahí se queman muchas calorías, coherencia, pendejas.",0
Corté 40 uñas,0
"Si quieres ser Féliz ! 
Déjate de ver cosas desagradables 
Y
Ve todo lo bueno en ti ! 

👆",0
Cogiendole más amor a la calle,0
"Me cagas, te amo",0
BASTA LOCO SI NO TE DIO BOLA EN TODO EL AÑO PORQUE LO VA A HACER EL 31 A LAS 00:00 CORTENLA,0
"–¿Me borraste de Whatsapp?
–Ni idea, luego se borran los contactos.
–¿Sigues enojada?
–No.",1
No olvidemos que a @LuceroMexico le encanta matar animales en sus tiempos libres con su novio. #CanelovsGolovkin,0
"Hay personas que al principio te parecen pendejas, luego comienzas a conocerlas más a fondo y ya no parecen, lo son.",1
"En un sorprendente giro de acontecimientos, la temporada dos de Proces termina con la elección de Oriol Junqueras como ministro de Economía",0
"-Sabes algún chiste de fisica cuantica?
-Si y No",1
Todas con el ABORTO LEGAL y bla bla #tendencia,0
Y hierba.,0
encuentra la V :WWWWWWWWWWWWWWWWWWWWWWWWWWWWW​WWWWWWWWWWWWWWVWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW #RT,0
"Buen día a todos los que estén vivos, porque los que están muertos ya están teniendo un buen día.",0
¿Sabes cuál es la Ley del Estudiante? Sacar el curso adelante con el sudor del de delante.,0
Heeey !! ¿Por qué le dio un paro a la impresora? - Parece que tuvo una IMPRESIÓN MUY FUERTE !! #chistes,1
"31. Mis colores favoritos son el negro, rojo y blanco
@BTS_twt #iHeartAwards #BestFanArmy #BTSARMY",0
"Hay 3 cosas que se van y no vuelven:

—El tiempo.
—La juventud.
—El dinero que uno le presta a la mamá.",1
"No sé si les dije, pero hoy más que nunca, amo a todas las Directioners, porque juntos trolleamos a Paulina Peña, EPN y exigimos justicia!",0
Me acabo de enterar de una cosa del #Bloodborne que me ha dejado con el culo torcido... 😱,0
Leer libros que huelen a ella. Casa.,0
"*llamen al 911estoy infartando,acabo de oir a un nene d algunos 10anos decir:""le compre un regalo a mi NOVIA""me voy a filotear pa llevarselo",0
"A veces volver con tu ex puede ser como ponerle el mismo pañal sucio a un bebé, osea, la misma mierda! #fb",1
"@Telemundo51 en un nuevo día, aplauden como focas porque continúan las series de violencia y narco",0
@merygmz_ y yo nos vamos a casar. Después de la boda barra libre. Interesados MD,0
"“Ahí hay cereal”

—Mi mamá diciéndome sutilmente que no me va a hacer ni madres de cenar.",1
"-Mi suegra nunca ha hablado mal de mí. 
-Joder, ¡qué buena! 
-No es buena, es muda.",1
Big time swag xDD,0
Nuevo video: @counterparts905 x @blackmirror,0
Sigo en puto shook,0
Alfred y chenoa conectados por el cuarto puesto y la inocencia de una ruptura,0
Donde estan @WapaTV @univisionpr @telemundopr ECT...Se declaro una guerra OYERON!!!????,0
"Yo buscaba tiempo, hasta del que ya no había 🔙",0
na q hermoso se siente conocer gente nueva,0
Estas vacaciones me quiero ir al hermoso estado de ebriedad.,1
EN EL PUENTE YO estaré aquí nomas acostao,0
"Mi mujer me engaña 
¡Y a mi que me cuenta! Estoy es una tienda de fotos 
-Es que hay un cartel que dice “Entre y revele su rollo
#chistes",1
Privatizar la riqueza y socializar la pobreza.,0
"Los teléfonos móviles serán inteligentes el día en que te digan ""Yo no mandaría ese mensaje si fuera tú"".",1
"""Amiga"" —¿Qué te pasa? —Nada —Ok ""Mejor Amiga"" —¿Qué te pasa? —Nada —¿Qué te pasa pendeja, te conozco más que nadie y sé que tienes algo.",0
"-papá papá, en la escuela me dicen El Dipi. -¿cómo hijo? -¡El Dipi papá! [by @jolavallen ]",1
"Iba caminando por la calle cuando de repente vi a una mujer en moto, le grité: ¡VAAACA!! me dijo: ¡TU MADRE! Y pues nada, chocó con la vaca.",1
"""Prefiero primeramente terminar mis estudios, enfocarme en mi futuro, luego tener pareja"".

—Yo, intentando disimular al máximo mi soledad.😆",1
"-¿Qué tal lo de tu adicción al sexo?
-Te hice caso, me puse en manos de profesionales
-Claro, hay psicólogos muy buenos
-No me has entendido",1
hice una torta de chocolate porque estaba aburrida ajajaja soy una cerda mal,0
"No es el 2014, eres tu el que tiene que ser diferente.",0
"-¿Nivel de Inglés?
-Alto.
-Traduzca 'gratis'.
-Free.
-Úselo en una oración. 
-A mi mamá se le quemaron lo freejoles.
-¡Seguridad!",1
#MientrasTodosEstanDeFiesta los guapos y guapas Tuiteamos durisimo.,0
"Abre la ventana para que salga una mosca. Se meten 5 más, 6 cucarachas, 1 panal de avispas, 1 león y 2 testigos de Jehová.",1
Día de mierda,0
"—¡Dr, el paciente se muere, necesita reanimación! —¡A la bio! ¡A la bao! ¡A la bin, bon, bao! ¡El paciente! ¡El paciente! RA RA RA! —Murio",1
Acaba de llegarme ese momento en la vida en que necesito ver si te quiero bien o nel,0
Salir del dentista es un tras torno. By @cervezajerome,1
Ocultar que estas de mala hostia poniendo muchos emoticonos porque la gente no tiene la culpa 🤗,0
Lo más cabrón es que tú ve todo como un chiste ✨🙌🏼🎶,0
"—Dime con quién andas y te diré quién eres. 
—Ando con Mariela.
—Ah, ¿qué pasó, Rubén?",1
"Al borracho no le importa ganar o perder,
lo importante es copetín",1
"Sigan a @sancuartas, el ganador de #JajaChistesGAME! (1/5)",0
Dedico este tuit a todos aquellos que subis una foto leyendo y el resto del año utilizáis ese libro para que la mesa no esté coja,0
QUE PEDO ORITA BOYS UNOS PUTAZOS O QUE PEDO,0
"¿Qué es un partido doble mixto de tenis?.
Un single de hombres con obstáculos.
#Chistes #Humor #Anecdotas #Machis...",1
"Una cosa es “Delinear” los ojos para resaltar la mirada y otra muy diferente querer verse como un mapache rabioso, pónganse vergas, morras.",1
"— ¿Y es tu novia?

— No, solo es otra de mis malas decisiones.",1
Vaya repaso de Bordalás a Unzué.,0
"Cosas que odio del transporte público:

1.- El transporte
2.- El público",1
Se me salió una sonrisota,0
"—Hola hijo, veo a tu novia más gordita. —¡¿Cuál embarazo, mamá?! ¡¿CUÁL?!",1
"Si lo dijiste borracho, lo pensaste sobrio.",0
quiero tener a alguien pa contarle que tengo pena y que me diga que me quiere abrazar me importa un hoyo si está al otro lado del mundo,0
"Si se va se acaba el programa!!!_!Bernier Gobernador 2016!__""@luispadropr: @alefuentespr No te vayas de Dando Candela""",0
"Si me gusta jugar a las cartas?
- Maso",1
— ¿Y tu media naranja? — Yo no uso medias de ese color.,1
"tengo los pelos ultra rebeldes, en cualquier momento juega la 0",0
“Es imposible” dijo el orgullo. “Es arriesgado” dijo la experiencia. “Kimbarakimbarakimbakimbambá” dijo Celia Cruz.,1
Necesito una almeja chiluda en mi vida #MasterChefMX,0
"-Como encontró la carne señor? - Muy fácil, levanté una papa, y ahí estaba!",1
"RT @GoldenTriumph: @ChisteMalo Pablito, ¿Tu mamá es astronauta? -No, ¿Por qué? Ah, es que la vi ayer en la tele, estaba en Venus.",1
"-""Si te caes, levántate"" 
-Gracias Marcelo, tenía planeado quedarme tirada toda la semana.",1
Grabe basad😂,0
Cuelga tú mi amor — Cuelga tú mi vida — ¡Dije que colgaras tú! — ¡Hazlo tú imbecil! — ¡No sé ni para que me llamaste! — PUDRETE.,1
Gracias a WhatsApp y Twitter aprendí a esquivar carros y pasarme semáforos con movimientos Matrix.,1
"Cariño, en las Bodas de Plata te voy a llevar a Cancún -¿Y en las de Oro? -Quien sabe... a lo mejor te paso a recoger",1
#TodoMuyLindoHastaQue escuchas de nuevo la canción que alguna vez le dedicaste y vienen los recuerdos.,0
Buenos días a todos espero tener un día lleno de bendiciones para mi y para todos 🤭👋🏻😇😗,0
21 puto.,0
"-Profesora ¿Qué quiere decir ""Why""? -¿Por qué? -Nada, solo quería saber..."" #fb",1
Una buena idea salir de pantalón largo,0
"Dios mío, cómo se soportan a sí mismos.",0
"En Ibagué cuando naces, te meten una mazorca 🌽 por el culo, para que sea joto. #GuerraDePaíses",0
"-Oye, amor, eres bien tierna. 
-Ya sé, soy una pinche ternura de mujer ¿Verdad que sí? 
-Sí, mi amor, sí, pero ya no me pegues.",1
Muy primer dia para que este todo el día en la facu y todavia siga acá,0
Cuando me despierto de buen humor me duermo otro ratito para que se me quite.,1
"#Wakanda El lugar que todos quisiéramos que fuera el verdadero hogar de los primeros humanos... Pero no, la cagamos 🙃",0
entrava a las 8:00am..entraba,0
"Acepta a tus hijos como lo q son,excepto si salen criminales(y aun asi se aman d todas formas)pq vinieron atraves d ti,pero NO son tuyos.",0
Seguramente tuve una pesadilla porque me desperté re agitada,0
Tan dificil es concentrarse??? Lpm hasta el minimo ruido me desconcentraaaaaaaaaa,0
"Me atropella onomatopeya
#frases",0
"9 ya extraño tus peleas con mi amiga jajajaja estas más linda, llévame con vos para alla",0
que nervios lpm!!!,0
- ¿Porque golpeas a ese maniquí? -Es que odio a la gente falsa.,1
#TodosAlgunaVez tuvimos un ataque de sinceridad y luego pensamos: ¿para qué le dije?,0
Te extraño,0
"-Doctor, tengo el pene como un nene de 5 años. -¿Tan chiquito? -Ma que chiquito! Como un nene de 5 años, ¡un metro de largo!",1
